Reporter Countries,Partner Countries,Value
Afghanistan,Algeria,5.0
Afghanistan,Armenia,1.0
Afghanistan,Australia,117.0
Afghanistan,Austria,80.0
Afghanistan,Barbados,15.0
Afghanistan,Belarus,759.0
Afghanistan,Belgium,33.0
Afghanistan,Bosnia and Herzegovina,2.0
Afghanistan,Canada,1827.0
Afghanistan,"China, Hong Kong SAR",7.0
Afghanistan,"China, mainland",234.0
Afghanistan,Denmark,98.0
Afghanistan,Egypt,326.0
Afghanistan,Finland,1.0
Afghanistan,France,248.0
Afghanistan,Germany,4932.0
Afghanistan,Guatemala,27.0
Afghanistan,India,276731.0
Afghanistan,Iran (Islamic Republic of),9989.0
Afghanistan,Italy,373.0
Afghanistan,Japan,41.0
Afghanistan,Jordan,938.0
Afghanistan,Kazakhstan,1695.0
Afghanistan,Kuwait,160.0
Afghanistan,Kyrgyzstan,28.0
Afghanistan,Lebanon,190.0
Afghanistan,Malaysia,308.0
Afghanistan,Mongolia,1.0
Afghanistan,Netherlands,526.0
Afghanistan,New Zealand,28.0
Afghanistan,Norway,41.0
Afghanistan,Oman,2.0
Afghanistan,Pakistan,216091.0
Afghanistan,Portugal,388.0
Afghanistan,Republic of Moldova,49.0
Afghanistan,Romania,94.0
Afghanistan,Russian Federation,1793.0
Afghanistan,Senegal,7.0
Afghanistan,Singapore,3.0
Afghanistan,South Africa,1.0
Afghanistan,Sri Lanka,79.0
Afghanistan,Sweden,86.0
Afghanistan,Switzerland,167.0
Afghanistan,Tunisia,85.0
Afghanistan,Turkey,7312.0
Afghanistan,Ukraine,52.0
Afghanistan,United Kingdom,404.0
Afghanistan,United Republic of Tanzania,4.0
Afghanistan,United States of America,2007.0
Albania,Algeria,116.0
Albania,Argentina,8.0
Albania,Australia,379.0
Albania,Austria,2257.0
Albania,Barbados,14.0
Albania,Belarus,197.0
Albania,Belgium,119.0
Albania,Bosnia and Herzegovina,8699.0
Albania,Brazil,47.0
Albania,Bulgaria,5873.0
Albania,Burkina Faso,3.0
Albania,Cabo Verde,113.0
Albania,Canada,543.0
Albania,"China, Hong Kong SAR",18.0
Albania,"China, Taiwan Province of",7.0
Albania,"China, mainland",231.0
Albania,Croatia,2526.0
Albania,Cyprus,1.0
Albania,Czechia,2514.0
Albania,Denmark,226.0
Albania,Egypt,859.0
Albania,Estonia,171.0
Albania,France,3779.0
Albania,Germany,10398.0
Albania,Ghana,9.0
Albania,Greece,10753.0
Albania,Hungary,1248.0
Albania,Iceland,6.0
Albania,India,165.0
Albania,Indonesia,2.0
Albania,Ireland,50.0
Albania,Israel,69.0
Albania,Italy,17866.0
Albania,Japan,361.0
Albania,Kenya,16.0
Albania,Kuwait,24.0
Albania,Latvia,505.0
Albania,Lebanon,72.0
Albania,Lithuania,760.0
Albania,Malaysia,4.0
Albania,Mali,7.0
Albania,Malta,12.0
Albania,Mauritania,5.0
Albania,Mauritius,2.0
