Exporter,Importer,Value
United States of America,Mexico,5613268.0
United States of America,Japan,4645377.0
United States of America,Republic of Korea,2302369.0
Canada,United States of America,2298075.0
Australia,"China, mainland",2179980.0
Netherlands,Germany,1830335.0
France,Italy,1656814.0
Germany,Netherlands,1617159.0
India,Saudi Arabia,1520022.0
Germany,Italy,1485865.0
France,Algeria,1453655.0
Russian Federation,Turkey,1451392.0
Brazil,Saudi Arabia,1446383.0
Brazil,Japan,1415044.0
India,Iran (Islamic Republic of),1359992.0
Switzerland,Iran (Islamic Republic of),1306719.0
Australia,Indonesia,1303301.0
France,Belgium,1280688.0
United States of America,Canada,1265870.0
United States of America,Colombia,1234295.0
Ukraine,Egypt,1175075.0
France,Netherlands,1167480.0
Russian Federation,Egypt,1158103.0
Belgium,Germany,1104306.0
France,Spain,1103015.0
United States of America,"China, Taiwan Province of",1056835.0
Belarus,Russian Federation,1051708.0
Denmark,Germany,989525.0
Poland,Germany,949830.0
United States of America,"China, mainland",920268.0
Netherlands,United Kingdom,907941.0
United States of America,"China, Hong Kong SAR",904714.0
India,Bangladesh,896029.0
Brazil,Iran (Islamic Republic of),889152.0
France,Germany,884709.0
Belgium,France,853795.0
United States of America,Brazil,842682.0
Belgium,Netherlands,838190.0
Netherlands,Belgium,819454.0
United States of America,Egypt,815603.0
United States of America,Philippines,791662.0
United States of America,Nigeria,791211.0
Czechia,Germany,785003.0
Turkey,Iraq,779189.0
New Zealand,"China, mainland",769753.0
"China, mainland","China, Hong Kong SAR",769221.0
Argentina,Algeria,768214.0
Spain,Portugal,765308.0
Germany,Iran (Islamic Republic of),758875.0
Canada,Japan,747151.0
Argentina,Brazil,739963.0
Ukraine,Spain,739210.0
India,United Arab Emirates,728873.0
Brazil,"China, Hong Kong SAR",725608.0
Netherlands,France,717798.0
Netherlands,Italy,713437.0
Germany,Belgium,708679.0
France,Morocco,698670.0
United Arab Emirates,Iran (Islamic Republic of),695825.0
Spain,France,694433.0
Ukraine,Saudi Arabia,674553.0
Austria,Italy,659802.0
Australia,Japan,656609.0
United States of America,Peru,656481.0
Brazil,Viet Nam,638353.0
United States of America,Venezuela (Bolivarian Republic of),634815.0
Brazil,Venezuela (Bolivarian Republic of),628194.0
Australia,Republic of Korea,628064.0
Viet Nam,"China, mainland",626112.0
United Kingdom,Ireland,625294.0
Brazil,United Arab Emirates,624504.0
Australia,United States of America,616570.0
Argentina,Saudi Arabia,600895.0
"China, Hong Kong SAR",Viet Nam,596831.0
Thailand,Nigeria,595537.0
Canada,Italy,580188.0
Romania,Egypt,575968.0
Argentina,Venezuela (Bolivarian Republic of),572003.0
Brazil,"China, mainland",549479.0
Hungary,Italy,547312.0
Germany,France,536935.0
Russian Federation,Iran (Islamic Republic of),532817.0
Ireland,United Kingdom,529238.0
Brazil,Republic of Korea,523893.0
Germany,Austria,519347.0
Switzerland,Israel,514389.0
Australia,Saudi Arabia,508659.0
New Zealand,United Kingdom,499246.0
Thailand,Benin,484949.0
Thailand,"China, mainland",484928.0
Uruguay,Brazil,475642.0
Poland,Italy,474576.0
United States of America,Guatemala,471112.0
Canada,Indonesia,466781.0
Canada,Mexico,459210.0
Thailand,United States of America,449599.0
United Kingdom,Iran (Islamic Republic of),441340.0
India,Benin,440879.0
Australia,Malaysia,439758.0
Ukraine,Republic of Korea,438612.0
United Kingdom,France,437263.0
Australia,Viet Nam,428493.0
India,Indonesia,423410.0
Spain,Italy,418257.0
Canada,Peru,418115.0
Netherlands,Iran (Islamic Republic of),413276.0
Brazil,Egypt,411074.0
United States of America,Saudi Arabia,410106.0
Ukraine,Netherlands,409424.0
Germany,United Kingdom,403403.0
Argentina,Malaysia,403326.0
Brazil,Malaysia,396970.0
Argentina,Egypt,392124.0
Austria,Germany,391955.0
Canada,Venezuela (Bolivarian Republic of),389140.0
France,United Kingdom,387993.0
Brazil,Russian Federation,384607.0
France,Egypt,383529.0
Russian Federation,Saudi Arabia,383269.0
India,Yemen,383170.0
United States of America,Indonesia,378496.0
Belgium,Poland,374656.0
Germany,Poland,372174.0
Denmark,United Kingdom,369355.0
Turkey,Iran (Islamic Republic of),369227.0
Ukraine,"China, mainland",368758.0
Canada,"China, mainland",365338.0
Viet Nam,Philippines,358956.0
Canada,Colombia,353486.0
Brazil,"China, Taiwan Province of",351276.0
India,Nepal,340527.0
France,Greece,339328.0
United States of America,Dominican Republic,334281.0
Serbia,Romania,329967.0
Ukraine,Italy,324314.0
France,Saudi Arabia,323358.0
Hungary,Romania,318534.0
France,"China, mainland",318270.0
Lithuania,Iran (Islamic Republic of),315711.0
Brazil,Indonesia,310952.0
India,Kuwait,310201.0
Paraguay,Brazil,309236.0
Australia,Iran (Islamic Republic of),307896.0
Thailand,Japan,303872.0
France,Portugal,302550.0
Canada,Bangladesh,302101.0
Canada,Algeria,301039.0
Denmark,Poland,298470.0
Pakistan,United Arab Emirates,297889.0
Denmark,Italy,297446.0
Mexico,Algeria,293771.0
Ukraine,Iran (Islamic Republic of),293225.0
Mexico,United States of America,293174.0
Pakistan,Kenya,292726.0
Russian Federation,Yemen,286962.0
Poland,Saudi Arabia,285172.0
Chile,United States of America,284804.0
India,Sri Lanka,283996.0
Kazakhstan,Iran (Islamic Republic of),283180.0
Poland,Netherlands,282897.0
Netherlands,Greece,282881.0
United States of America,Haiti,280651.0
Russian Federation,Azerbaijan,278741.0
Germany,Denmark,277011.0
Russian Federation,South Africa,273179.0
Germany,Saudi Arabia,272748.0
Argentina,Morocco,272488.0
Ukraine,Tunisia,271686.0
India,Iraq,270638.0
Canada,Morocco,267954.0
Australia,Yemen,267790.0
Thailand,Côte d'Ivoire,267073.0
Thailand,Philippines,266531.0
Hungary,Austria,266047.0
United Kingdom,Netherlands,263660.0
United States of America,Honduras,262962.0
Germany,"China, mainland",260949.0
United States of America,Angola,260217.0
United States of America,Costa Rica,257800.0
Ukraine,Israel,251930.0
Australia,Kuwait,250768.0
Poland,United Kingdom,249276.0
Australia,United Arab Emirates,244086.0
India,Senegal,243244.0
Thailand,Cameroon,242921.0
India,Qatar,241944.0
Australia,Iraq,241199.0
Canada,Nigeria,239993.0
Thailand,South Africa,239886.0
United States of America,El Salvador,236303.0
United States of America,Viet Nam,235995.0
Bulgaria,Romania,235672.0
Brazil,Kuwait,235229.0
Italy,Germany,232313.0
Thailand,"China, Hong Kong SAR",230184.0
Canada,Saudi Arabia,229593.0
United States of America,Italy,228504.0
Belgium,Italy,226924.0
Italy,France,226918.0
New Zealand,Netherlands,226354.0
Ukraine,Libya,224603.0
Canada,Sri Lanka,223627.0
Belgium,United Kingdom,222627.0
Russian Federation,Sudan,221034.0
Czechia,Slovakia,219902.0
Netherlands,Israel,217656.0
Australia,New Zealand,217189.0
Romania,Jordan,216484.0
Pakistan,Saudi Arabia,213873.0
Thailand,Malaysia,212210.0
India,Oman,211981.0
Brazil,Singapore,209094.0
India,Turkey,208775.0
Ukraine,Japan,207789.0
Denmark,Sweden,207412.0
India,United States of America,206914.0
Russian Federation,Nigeria,206226.0
United States of America,Chile,205380.0
India,Ethiopia,205151.0
Uruguay,Iraq,204607.0
Paraguay,Chile,204456.0
Ireland,France,202679.0
"China, mainland",Republic of Korea,202273.0
Brazil,Angola,202049.0
Portugal,Spain,198745.0
Argentina,Chile,197700.0
United States of America,Iraq,197222.0
United States of America,Cuba,197048.0
New Zealand,United States of America,196770.0
United States of America,Turkey,196104.0
Spain,Japan,195117.0
Germany,Switzerland,194675.0
Slovenia,Italy,193616.0
Romania,Spain,193577.0
Germany,Czechia,192501.0
Canada,Sudan,191156.0
India,Malaysia,190786.0
United States of America,Russian Federation,190172.0
Kazakhstan,Tajikistan,189409.0
Netherlands,Ireland,188773.0
Poland,Czechia,188748.0
Germany,Spain,187625.0
United Kingdom,Spain,186793.0
Canada,Republic of Korea,186627.0
New Zealand,Germany,186458.0
Bulgaria,Spain,186242.0
Russian Federation,Republic of Korea,184322.0
India,United Kingdom,184142.0
Bulgaria,Greece,184126.0
Thailand,Indonesia,183781.0
Argentina,Peru,183251.0
France,Côte d'Ivoire,181217.0
Argentina,Indonesia,180846.0
Australia,Nigeria,180797.0
Pakistan,Iran (Islamic Republic of),180276.0
"China, Hong Kong SAR","China, Taiwan Province of",179966.0
Australia,Philippines,179189.0
Australia,Thailand,179152.0
United States of America,Thailand,177276.0
United Kingdom,Germany,177079.0
Ukraine,United Kingdom,176087.0
Romania,Italy,175986.0
United States of America,Jamaica,175441.0
India,Nigeria,172928.0
Australia,"China, Taiwan Province of",172546.0
Australia,Singapore,172519.0
Thailand,Singapore,172418.0
Germany,Morocco,170677.0
Mexico,Venezuela (Bolivarian Republic of),169803.0
Spain,United Kingdom,169408.0
Kazakhstan,Uzbekistan,167777.0
Russian Federation,Israel,167513.0
Thailand,Angola,167152.0
Brazil,Morocco,167015.0
Australia,Papua New Guinea,166985.0
United States of America,Israel,166336.0
United States of America,Panama,165866.0
United States of America,Spain,165553.0
South Africa,"China, Taiwan Province of",165141.0
Bulgaria,Libya,165045.0
India,Viet Nam,164430.0
Hungary,Germany,164233.0
Canada,Chile,162780.0
Australia,Sudan,162627.0
Russian Federation,Georgia,162559.0
Netherlands,Poland,160341.0
South Africa,Zimbabwe,159741.0
Pakistan,"China, mainland",158968.0
Canada,Iraq,158176.0
India,Guinea,157088.0
France,Yemen,156954.0
Viet Nam,Malaysia,156068.0
Canada,Ecuador,155544.0
Brazil,Netherlands,155066.0
Pakistan,Afghanistan,154886.0
Russian Federation,Jordan,154794.0
Pakistan,Oman,154467.0
Brazil,Yemen,154269.0
Poland,Spain,153999.0
Brazil,Algeria,153328.0
Ukraine,Jordan,152844.0
Brazil,Cuba,149975.0
Argentina,United States of America,149401.0
Thailand,Mozambique,148482.0
Russian Federation,Libya,148385.0
Kazakhstan,Russian Federation,148369.0
Russian Federation,Kenya,148356.0
India,South Africa,148000.0
Germany,Greece,147700.0
Romania,Netherlands,146315.0
Canada,United Kingdom,145521.0
Poland,France,144951.0
Canada,Spain,144193.0
Latvia,Lithuania,143631.0
Poland,Slovakia,143559.0
Viet Nam,Indonesia,143538.0
